parent,standard_name,old_cui,old_resolved,new_cui (current),new_resolved (UMLS),concept_type
l_isoleucine,L-Isoleucine,C0022100,Irrigation,C0022192,isoleucine,exact/base (accept)
l_leucine,L-Leucine,C0023492,"Leukemia, T-Cell",C0023401,leucine,exact/base (accept)
l_lysine,L-Lysine,C0024228,Lymphatic Diseases,C0024337,lysine,exact/base (accept)
l_ornithine,L-Ornithine,C0029235,Organism,C0029277,ornithine,exact/base (accept)
l_proline,L-Proline,C0033306,Progestins,C0033382,proline,exact/base (accept)
l_theanine,L-Theanine,C0076979,tri-(deoxyguanylic acid-deoxycytidylic acid),C0076380,theanine,exact/base (accept)
l_threonine,L-Threonine,C0035512,,C0040005,threonine,exact/base (accept)
l_tryptophan,L-Tryptophan,C0041081,Triosil,C0041249,tryptophan,exact/base (accept)
l_tyrosine,L-Tyrosine,C0041408,Turner Syndrome,C0041485,tyrosine,exact/base (accept)
l_valine,L-Valine,C0042346,,C0042285,valine,exact/base (accept)
lycopene,Lycopene,C0079196,,C0065331,lycopene,exact/base (accept)
lysozyme,Lysozyme,C0024245,,C3541379,lysozyme,exact/base (accept)
magnesium,Magnesium,C0024389,,C0024467,magnesium,exact/base (accept)
manganese,Manganese,C0024744,Mannose-6-Phosphate Isomerase,C0024706,manganese,exact/base (accept)
melatonin,Melatonin,C0025195,Melanesia,C0025219,melatonin,exact/base (accept)
milk_thistle,Milk Thistle,C0037536,oxacillin sodium,C0331428,Milk Thistle,exact/base (accept)
molybdenum,Molybdenum,C0026375,,C0026402,molybdenum,exact/base (accept)
myricetin,Myricetin,(null),(none),C0067067,myricetin,exact/base (accept)
myristic_acid,Myristic Acid,C0369248,Blood group antigen G (substance),C0027138,myristic acid,exact/base (accept)
nattokinase,Nattokinase,C1138205,RI-26 peptide,C0131956,nattokinase,exact/base (accept)
octacosanol,Octacosanol,C0072695,,C0044548,1-octacosanol,exact/base (accept)
oleuropein,Oleuropein,C0066503,mica,C0069413,oleuropein,exact/base (accept)
omega_3,Omega-3 Fatty Acids,C0032908,,C0015689,omega-3 fatty acids,exact/base (accept)
perilla_oil,Perilla Oil,C0950252,"limonene, (+)- [d-limonene]",C0070421,perilla seed oil,exact/base (accept)
phosphatidylinositol,Phosphatidylinositol,C0031517,,C0031621,phosphatidylinositols,exact/base (accept)
phosphatidylserine,Phosphatidylserine,C0079825,,C0301704,phosphatidylserine,exact/base (accept)
phosphorus,Phosphorus,C0031521,Exophiala dermatitidis,C0031705,phosphorus,exact/base (accept)
pine_bark_extract,Pine Bark Extract,C1171396,,C0872909,pine bark extract,extract/preparation (review)
policosanol,Policosanol,C0072689,,C0215278,policosanol,exact/base (accept)
polygodial,Polygodial,(null),(none),C0071585,polygodial,exact/base (accept)
prebiotics,Prebiotics,C1704449,Filter (function),C2717875,Prebiotics,exact/base (accept)
probiotics,Probiotics,C1704436,Peripheral Arterial Diseases,C0525033,Probiotics,exact/base (accept)
pygeum,Pygeum,C0330996,Acer,C1620942,African Pygeum extract,extract/preparation (review)
quercetin,Quercetin,C0078580,,C0034392,quercetin,exact/base (accept)
resveratrol,Resveratrol,C0074937,Sankin Precision Acrylic Denture,C0073096,resveratrol,exact/base (accept)
rhodiola,Rhodiola,C1456394,RXRG gene,C0950013,Rhodiola <Crassulaceae>,exact/base (accept)
saw_palmetto,Saw Palmetto,C0036143,Salvelinus,C0771607,saw palmetto extract,extract/preparation (review)
selenium,Selenium,C0036641,,C0036581,selenium,exact/base (accept)
slippery_elm,Slippery Elm,C0597235,,C0330532,Slippery elm,exact/base (accept)
spirulina,Spirulina,C0246293,,C1095785,Spirulina,exact/base (accept)
squalene,Squalene,C0038237,,C0038071,squalene,exact/base (accept)
stearidonic_acid,Stearidonic Acid,C0075622,,C0075197,stearidonic acid,exact/base (accept)
stinging_nettle,Stinging Nettle,C0242756,Titan,C1618310,stinging nettle extract,extract/preparation (review)
sulforaphane,Sulforaphane,C0162315,,C5545155,(+-)-sulforaphane,exact/base (accept)
superoxide_dismutase,Superoxide Dismutase (SOD),C0039082,Syndrome,C0038838,superoxide dismutase,exact/base (accept)
taurine,Taurine,C0039324,,C0039350,taurine,exact/base (accept)
thyme_extract,Thyme Extract,(null),(none),C3541308,Thymus vulgaris whole extract,extract/preparation (review)
tmg_betaine,TMG (Trimethylglycine),C0052827,Azure B,C0005304,betaine,exact/base (accept)
turmeric,Turmeric,C0209960,,C0077524,turmeric extract,extract/preparation (review)
uridine_monophosphate,Uridine-5'-Monophosphate,(null),(none),C0042002,Uridine Monophosphate,exact/base (accept)
vanadium,Vanadium,C0042285,valine,C0042306,vanadium,exact/base (accept)
vanadyl_sulfate,Vanadyl Sulfate,C0042282,Valgus deformity,C0078023,vanadyl sulfate,exact/base (accept)
zinc,Zinc,C0043539,Zygomatic bone,C0043481,zinc,exact/base (accept)
